"Depth bin (m)","Efflux (Pg CO2)"
-3400,NA
-3399,NA
-3398,NA
-3397,NA
-3396,NA
-3395,NA
-3394,NA
-3393,3.61201292948883e-08
-3392,NA
-3391,NA
-3390,NA
-3389,NA
-3388,NA
-3387,NA
-3386,NA
-3385,NA
-3384,NA
-3383,NA
-3382,NA
-3381,NA
-3380,NA
-3379,NA
-3378,NA
-3377,NA
-3376,NA
-3375,NA
-3374,NA
-3373,NA
-3372,NA
-3371,NA
-3370,NA
-3369,NA
-3368,NA
-3367,NA
-3366,NA
-3365,NA
-3364,NA
-3363,NA
-3362,NA
-3361,NA
-3360,NA
-3359,NA
-3358,NA
-3357,NA
-3356,NA
-3355,NA
-3354,NA
-3353,NA
-3352,NA
-3351,NA
-3350,NA
-3349,NA
-3348,NA
-3347,NA
-3346,5.56811737283318e-09
-3345,NA
-3344,NA
-3343,NA
-3342,NA
-3341,NA
-3340,NA
-3339,NA
-3338,NA
-3337,NA
-3336,NA
-3335,NA
-3334,NA
-3333,NA
-3332,NA
-3331,NA
-3330,NA
-3329,NA
-3328,NA
-3327,NA
-3326,NA
-3325,NA
-3324,NA
-3323,NA
-3322,NA
-3321,NA
-3320,NA
-3319,NA
-3318,NA
-3317,NA
-3316,NA
-3315,NA
-3314,NA
-3313,NA
-3312,NA
-3311,NA
-3310,NA
-3309,NA
-3308,NA
-3307,NA
-3306,NA
-3305,NA
-3304,NA
-3303,NA
-3302,NA
-3301,NA
-3300,NA
-3299,NA
-3298,NA
-3297,NA
-3296,NA
-3295,NA
-3294,NA
-3293,NA
-3292,NA
-3291,NA
-3290,NA
-3289,NA
-3288,NA
-3287,NA
-3286,NA
-3285,NA
-3284,NA
-3283,NA
-3282,NA
-3281,NA
-3280,NA
-3279,NA
-3278,NA
-3277,NA
-3276,NA
-3275,NA
-3274,NA
-3273,NA
-3272,NA
-3271,NA
-3270,NA
-3269,NA
-3268,NA
-3267,NA
-3266,NA
-3265,NA
-3264,NA
-3263,NA
-3262,NA
-3261,NA
-3260,NA
-3259,NA
-3258,NA
-3257,NA
-3256,NA
-3255,NA
-3254,NA
-3253,NA
-3252,NA
-3251,NA
-3250,NA
-3249,NA
-3248,NA
-3247,NA
-3246,NA
-3245,NA
-3244,NA
-3243,NA
-3242,NA
-3241,NA
-3240,NA
-3239,NA
-3238,NA
-3237,NA
-3236,NA
-3235,NA
-3234,NA
-3233,NA
-3232,NA
-3231,NA
-3230,NA
-3229,NA
-3228,NA
-3227,NA
-3226,NA
-3225,NA
-3224,NA
-3223,NA
-3222,NA
-3221,NA
-3220,NA
-3219,NA
-3218,NA
-3217,NA
-3216,NA
-3215,NA
-3214,NA
-3213,NA
-3212,NA
-3211,NA
-3210,NA
-3209,NA
-3208,NA
-3207,NA
-3206,NA
-3205,NA
-3204,NA
-3203,NA
-3202,NA
-3201,NA
-3200,NA
-3199,NA
-3198,NA
-3197,NA
-3196,NA
-3195,NA
-3194,NA
-3193,NA
-3192,NA
-3191,NA
-3190,NA
-3189,NA
-3188,NA
-3187,NA
-3186,NA
-3185,NA
-3184,NA
-3183,NA
-3182,NA
-3181,NA
-3180,NA
-3179,NA
-3178,NA
-3177,NA
-3176,NA
-3175,NA
-3174,NA
-3173,NA
-3172,NA
-3171,NA
-3170,NA
-3169,NA
-3168,NA
-3167,NA
-3166,NA
-3165,NA
-3164,NA
-3163,NA
-3162,NA
-3161,NA
-3160,NA
-3159,NA
-3158,NA
-3157,NA
-3156,NA
-3155,NA
-3154,NA
-3153,NA
-3152,NA
-3151,NA
-3150,NA
-3149,NA
-3148,NA
-3147,NA
-3146,NA
-3145,NA
-3144,NA
-3143,NA
-3142,NA
-3141,NA
-3140,NA
-3139,NA
-3138,NA
-3137,NA
-3136,NA
-3135,NA
-3134,NA
-3133,NA
-3132,NA
-3131,NA
-3130,NA
-3129,NA
