"adjusted.Year","adjusted.PgCO2_to_atmos_cumulative_global_alldepths","adjusted.China","adjusted.Vietnam","adjusted.Indonesia","adjusted.India","adjusted.Morocco","adjusted.Japan","adjusted.United.States","adjusted.South.Korea","adjusted.United.Kingdom","adjusted.Malaysia","adjusted.Argentina","adjusted.Myanmar","adjusted.Mexico","adjusted.Thailand","adjusted.Russia","adjusted.Norway","adjusted.Guinea","adjusted.Guinea.Bissau","adjusted.Namibia","adjusted.New.Zealand","adjusted.Denmark","adjusted.Angola","adjusted.Canada","adjusted.Iceland","adjusted.Pakistan","adjusted.Turkey","adjusted.Brazil","adjusted.Bangladesh","adjusted.South.Africa","adjusted.Ireland","adjusted.Netherlands","adjusted.Côte.d.Ivoire","adjusted.Germany","adjusted.Republ..of.Congo","adjusted.Guyana","unadjusted.Year","unadjusted.PgCO2_to_atmos_cumulative_global_alldepths","unadjusted.China","unadjusted.Vietnam","unadjusted.Indonesia","unadjusted.India","unadjusted.Morocco","unadjusted.Japan","unadjusted.United.States","unadjusted.South.Korea","unadjusted.United.Kingdom","unadjusted.Malaysia","unadjusted.Argentina","unadjusted.Myanmar","unadjusted.Mexico","unadjusted.Thailand","unadjusted.Russia","unadjusted.Norway","unadjusted.Guinea","unadjusted.Guinea.Bissau","unadjusted.Namibia","unadjusted.New.Zealand","unadjusted.Denmark","unadjusted.Angola","unadjusted.Canada","unadjusted.Iceland","unadjusted.Pakistan","unadjusted.Turkey","unadjusted.Brazil","unadjusted.Bangladesh","unadjusted.South.Africa","unadjusted.Ireland","unadjusted.Netherlands","unadjusted.Côte.d.Ivoire","unadjusted.Germany","unadjusted.Republ..of.Congo","unadjusted.Guyana"
1,0.990646213354234,0.605054710908628,0.000566233668780199,1.56328915093033e-08,0.00202093021108922,0.00106129572013772,0.00156157397614462,0.0181754717562981,0.00254346146997747,0.0362822182855726,0.00852104466293329,0.00235867127104366,0,2.22702279544096e-05,0.000992809677680172,0.0148002510771155,0.0104922960122679,0.000576841795302915,0.00481941539094872,0.000660451851830997,0.00298920419380114,0.030140439090928,0.000817206386429758,0.00233592496010362,0.00417922479558344,0,0.00787034865892973,0.0016608249757882,0,0.00317896542220668,0.00796369696954761,0.030063303771537,0.000185956373530326,0.0131847054920227,0.000114031314488698,0,1,1.4732476,0.768527218674396,0.000919553628234666,1.70650261385999e-08,0.00288307012073087,0.00784940251673012,0.0144336240593499,0.0307187487199601,0.0119540198442117,0.0477125791304778,0.00909943430844113,0.00297706735511025,0,5.59330896412761e-05,0.00101891172019202,0.0846950101425787,0.0261062868609605,0.00112444286427286,0.00747212765817338,0.0129587410634572,0.00796646900687072,0.0396405637182586,0.0166218687570609,0.0108424172039859,0.0124844335196387,0,0.0125479607192371,0.00230882517697437,0,0.00975605990337509,0.0140616945750812,0.0300685412566522,0.0008481402162365,0.0131919352619391,0.00344888562452157,0
2,1.80624121533838,1.08830865131905,0.00101788004923511,2.77015038162849e-08,0.00388415332294963,0.00275198834156498,0.00472827152703873,0.0338369877191968,0.00604244101073062,0.0664770277620043,0.0152035458066687,0.00424950259938779,0,4.18894021813832e-05,0.00174427148997525,0.0292367343886055,0.0216754227696237,0.00110924252450601,0.00938784788649329,0.00200543349217141,0.00577307422757341,0.0543740561630044,0.00192451754497627,0.00515734361351625,0.00826508213787171,0,0.0157870096695328,0.00310593077339298,0,0.00690962300501414,0.0154765480941405,0.0523420517648883,0.000455723757612093,0.0229598229051906,0.000365816476138337,0,2,2.564759912,1.33792025300903,0.00160084040362966,2.97083090021753e-08,0.00501910382826046,0.0136649351460415,0.0251273311915114,0.0534779186226096,0.0208106165478815,0.0830622837953222,0.0158411012080843,0.0051827425394826,0,9.7373276607576e-05,0.00177381177055063,0.147444575345054,0.0454481364790031,0.00195752973337373,0.0130081416559101,0.0225597242374895,0.0138687348610054,0.0690098044033272,0.0289368213806253,0.0188754402138256,0.0217340076543809,0,0.0218446014302349,0.00401940736758721,0,0.0169842132030265,0.0244798434023963,0.0523459798796751,0.00147651761072503,0.0229656893529102,0.00600412557322069,0
3,2.5107922944085,1.50133304024312,0.00141019251628166,3.76085495244808e-08,0.00545942278008404,0.00464733890153503,0.0092707820076778,0.0480387219701813,0.0103560230080871,0.0918102816909875,0.0206462457599216,0.00581659911823181,0,5.84628331470684e-05,0.00234915907438044,0.0426235416111509,0.0324540027126873,0.00156721643591455,0.0133365493342068,0.00373244529550215,0.00838373993428297,0.0743330069558362,0.00315710538075527,0.00812707765694888,0.0118762042576107,0,0.0228258994674303,0.00439214910641483,0,0.0107015030290628,0.0222689410773628,0.070179366448283,0.000765243729443374,0.0307862991105366,0.000747408030195416,0,3,3.43868310984,1.79380680227,0.00214631507290603,3.98311981989868e-08,0.00672932678026532,0.0183211619395243,0.0336892856751755,0.0717001285993922,0.0279016820614424,0.111365150014755,0.0212388406847126,0.00694872418653434,0,0.000130552509049139,0.00237822516910418,0.197685236931669,0.0609342568685826,0.00262454368522656,0.0174405708671978,0.0302467854145496,0.0185944049180804,0.0925243909594776,0.0387968318080969,0.0253071085330021,0.0291397119397322,0,0.0292879897365362,0.00538899105597398,0,0.0227714597385553,0.0328211711534847,0.0701824900015293,0.00197963019681722,0.0307910801764297,0.00804998748670101,0
4,3.14765077101297,1.87326151054444,0.00177342010056964,4.62503186415546e-08,0.00682542781461099,0.00655396435263203,0.0147397547980984,0.0612992501672748,0.0151843554150753,0.114043382284509,0.0253327451815273,0.00718706992309083,0,7.31156135584828e-05,0.00286895334307499,0.0551311280273996,0.0426416072345347,0.001973469354034,0.0168005193610578,0.00559419296451783,0.0108722394868573,0.0916534883120939,0.00445103373159038,0.0111233379773162,0.015094416867858,0,0.0290706234197402,0.00555709394082501,0,0.0144027544731626,0.0284538013251782,0.08548500725213,0.0010949853747779,0.0375018106046977,0.00123352033762513,0,4,4.1885805126088,2.18499465503899,0.0026143768416948,4.85174630057428e-08,0.00819683760162108,0.0223165844065846,0.0410361411491961,0.0873362714184305,0.0339863947966412,0.135651318320305,0.0258705415302224,0.00846408051731334,0,0.000159022997411603,0.00289686117612886,0.240795823457245,0.074222611597938,0.00319689607424802,0.0212439567502097,0.0368429110533356,0.0226494153708316,0.112701824662145,0.0472575251837954,0.0308260046785005,0.0354944104109306,0,0.0356750241721605,0.00656420559809188,0,0.0277373894185343,0.0399787108911238,0.0854876708777174,0.00241134184212349,0.0375059039375017,0.00980550392010662,0
5,3.74324184117402,2.22057642057598,0.00212357582000589,5.41441580471959e-08,0.0080614405320536,0.00841550505538234,0.0207318955099802,0.0739205068240037,0.0202741835286688,0.134385249579047,0.0295715827639875,0.0084410112727887,0,8.67221472049996e-05,0.00333969161843774,0.0670685740896379,0.0522719318812024,0.00234677284413575,0.0199424469548909,0.00748049029152956,0.0132732595788638,0.107416449226137,0.00577232494536438,0.0140996698989338,0.0180540869554943,0,0.034750507781918,0.00663138269573538,0,0.0179775567354517,0.0341785433895796,0.099347589266478,0.00143455474397429,0.0435840187697722,0.00179622224252744,0,5,4.86778321218702,2.53930425080754,0.00303831325720562,5.63848519101671e-08,0.00952600250850687,0.0259353484075843,0.04769039018772,0.101498355957555,0.0394974864481736,0.15764796881494,0.0300656003559947,0.00983658041781686,0,0.00018480950164898,0.00336660406998208,0.279842267198028,0.0862582399009657,0.00371529137245559,0.0246887879361043,0.0428172034353053,0.026322149849118,0.130977081238326,0.0549206078399834,0.0358246206850024,0.041250035568062,0,0.0414599369014989,0.00762862972683653,0,0.0322351684908498,0.0464614914610969,0.0993499940838758,0.0028023549511818,0.0435877044729786,0.0113955234298696,0
6,4.31352730083155,2.55280692810082,0.0024690220458242,6.15929087985673e-08,0.00922080614509548,0.0102324581042316,0.0269633267833074,0.0861024413039897,0.0254594234029217,0.153588780908452,0.0335488201557849,0.00962689960103526,0,9.9823578938777e-05,0.00378223421891844,0.0786887293762741,0.0614475461474952,0.00269970390468384,0.0228843105668538,0.00937201620094796,0.015611662774438,0.12227896525534,0.00710227387098128,0.0170434387320575,0.0208603505499795,0,0.0400603594144637,0.00764142473787252,0,0.0214365359210515,0.0395735549638225,0.112387628662506,0.00177760418202209,0.0493052318635157,0.00241177339035523,0,6,5.5066899309466,2.87259324008584,0.00343709822134803,6.37854815502625e-08,0.0107763102441448,0.0293394170829293,0.0539498535580106,0.114820227277128,0.0446816140820162,0.178339594157353,0.0340117732305166,0.0111276521530634,0,0.000209066134935057,0.00380847788932756,0.31657214955148,0.0975798141409867,0.00420293112889925,0.0279292429446421,0.0484370508608898,0.0297769870219596,0.148168096852411,0.0621290523860503,0.0405266770122763,0.046664188936175,0,0.0469016402582544,0.00862990331995843,0,0.0364661017167973,0.0525596593055004,0.112389888418117,0.00317016989457876,0.0493086817698663,0.0128912096931564,0
7,4.8682087432767,2.87558173465856,0.00281393468711421,6.87755052450271e-08,0.0103360670332246,0.0120223231601044,0.0332607139889173,0.097984923526309,0.0306458398733075,0.172110361844767,0.0373741087549767,0.0107736093237785,0,0.000112739450147007,0.0042085989580833,0.0901668397576915,0.0702807616872711,0.00304038394447968,0.0257061709937043,0.0112892721844155,0.0179074966413185,0.136628757858146,0.00843236944160371,0.0199568247183501,0.0235827723935797,0,0.0451379505546089,0.00860825681419842,0,0.0248070804046682,0.0447411864065561,0.124958819753301,0.00212048207190901,0.0548206750446197,0.00306249276078444,0,7,6.12262794063956,3.19390048366471,0.00382154685821043,7.09200584096904e-08,0.0119816693921713,0.0326211094226512,0.0599842890974083,0.127663177061557,0.0496793722257755,0.198287355163001,0.0378160811128258,0.0123723098341134,0,0.000232450741778893,0.00423446633620364,0.351981591914152,0.108494377565094,0.00467304022653747,0.0310532035320865,0.0538548646613347,0.0331076227306977,0.1647410951181,0.0690783532093483,0.0450596943223902,0.0518837033845477,0,0.0521477142726376,0.00959518110777536,0,0.0405449328103149,0.0584385978963291,0.124960998295366,0.00352476188354875,0.0548239898207582,0.0143331260059517,0
8,5.41324013552269,3.19230045606623,0.00316020395465975,7.57983843314552e-08,0.0114264329779105,0.0138033531428167,0.0395306243349552,0.109666891292262,0.0357870474108384,0.190224086783019,0.0411113768664143,0.0118981409142601,0,0.000125656867719285,0.00462569263035322,0.101620180403296,0.0788693628220209,0.00337398978767041,0.0284576649828349,0.0132625731141438,0.0201770316564057,0.150690590367558,0.00976106853769951,0.0228475620278836,0.026264275331053,0,0.0500748028782825,0.00954720013694348,0,0.028119141648172,0.0497564784886581,0.137262767925964,0.00246135912812829,0.0602188287843201,0.00373566477820052,0,8,6.72547378616455,3.50837813219489,0.00419782378852323,7.79029851841377e-08,0.0131614078452595,0.035833047251068,0.0658904587731971,0.140233141570953,0.0545708997601875,0.217811113496693,0.0415395259495737,0.0135905115042714,0,0.000255338293550653,0.00465140012077215,0.38663838348208,0.11917694482413,0.0051331568486566,0.0341107622995077,0.05915751929545,0.0363674636048967,0.180961823495205,0.0758799421106679,0.049496359392723,0.0569922736486683,0,0.0572822795618686,0.0105399412865685,0,0.0445370656883475,0.0641925758126203,0.137264901032129,0.00387181678849537,0.0602220664014325,0.0157443934469668,0
9,5.95232986724501,3.50506568068814,0.00350850924691704,8.27251673946665e-08,0.0125030884646901,0.0155894711025822,0.0457304850257376,0.121221349400338,0.0408652957090483,0.208093992896734,0.0447977057174066,0.0130103750361006,0,0.000138685078589613,0.00503747913663591,0.113128404774457,0.0872897901566648,0.00370381018115556,0.0311688942657216,0.0153185484963528,0.0224327593997599,0.164593766673983,0.0110906643256559,0.0257248940605502,0.0289302140955514,0,0.0549293588793659,0.0104686876891201,0,0.0313986827109667,0.05467198439895,0.14941438799019,0.00279951195841852,0.0655501274196549,0.00442268457546406,0,9,7.32085709811379,3.81896291154732,0.00456944284610275,8.47994714101461e-08,0.0143265425022327,0.0390052250080407,0.0717235169067288,0.152647504473582,0.0594018758472714,0.237093190307369,0.0452168788503517,0.014793633248221,0,0.000277942523931328,0.00506317274782536,0.420866164097004,0.129727274269076,0.00558757775972984,0.0371304720295156,0.0643945332047574,0.0395869514234085,0.196981758035815,0.0825973352164598,0.0538781036863805,0.0620376057277653,0,0.0623532848777628,0.011473006428218,0,0.0484797805835536,0.0698753261444251,0.149416495698815,0.00421457555554867,0.0655533210440827,0.0171381910310672,0
10,6.48781781154748,3.81520961462208,0.00385892923360612,8.95940094932338e-08,0.0135724875608195,0.0173897642535669,0.0518472151264219,0.13269884874249,0.0458785790454755,0.225818119308862,0.0484545555977385,0.0141159955650833,0,0.000151887283682193,0.00544623145324453,0.124747548887202,0.0955984242982304,0.00403193884604809,0.0338580357355938,0.017475426079372,0.0246837176637067,0.178412012218464,0.0124251826477245,0.0285972678847899,0.0315949491012844,0,0.0597378530930824,0.0113795130172082,0,0.0346653903431233,0.0595233285679659,0.16147918123753,0.00313482823908298,0.0708433186219749,0.00511800802574431,0,10,7.91198676592486,4.12732875546844,0.00493840691622431,9.16466865235444e-08,0.0154833529954205,0.0421547395242904,0.0775149014611739,0.164973174460352,0.0641983376093783,0.256237508649926,0.0488679593476269,0.0159881594342317,0,0.000300385261119085,0.00547200351509483,0.454849408468715,0.14020222815999,0.00603875211550693,0.040128607808198,0.0695941319009243,0.0427834380001785,0.212887240089625,0.089266736718801,0.058228543137333,0.0670468920413987,0,0.067388061008855,0.0123994053986956,0,0.0523943272285486,0.0755174767530725,0.161481274765557,0.00455488552400278,0.0708464871820592,0.0185220307967263,0
