"Year","PgCO2_per_year_to_atmos_global_all_depths","China","Vietnam","Indonesia","India","Morocco","Japan","United States","South Korea","United Kingdom","Malaysia","Argentina","Myanmar","Mexico","Thailand","Russia","Norway","Guinea","Guinea-Bissau","Namibia","New Zealand","Denmark","Angola","Canada","Iceland","Pakistan","Turkey","Brazil","Bangladesh","South Africa","Ireland","Netherlands","Côte d'Ivoire","Germany","Republ. of Congo","Guyana"
1,0.990646213354234,0.605054710908628,0.000566233668780199,1.56328915093033e-08,0.00202093021108922,0.00106129572013772,0.00156157397614462,0.0181754717562981,0.00254346146997747,0.0362822182855726,0.00852104466293329,0.00235867127104366,0,2.22702279544096e-05,0.000992809677680172,0.0148002510771155,0.0104922960122679,0.000576841795302915,0.00481941539094872,0.000660451851830997,0.00298920419380114,0.030140439090928,0.000817206386429758,0.00233592496010362,0.00417922479558344,0,0.00787034865892973,0.0016608249757882,0,0.00317896542220668,0.00796369696954761,0.030063303771537,0.000185956373530326,0.0131847054920227,0.000114031314488698,0
2,1.07228275600518,0.640030529983327,0.000598363994403246,1.61192731345143e-08,0.00238686922277758,0.00196568646996971,0.00357131921226106,0.0203709883865607,0.00415801947182702,0.039595946832109,0.00889040118610826,0.00250199000727168,0,2.53896447724558e-05,0.00100871014464494,0.0182713974884382,0.0139018005498835,0.000681867029952808,0.00581719809492884,0.00151611226215092,0.00355840699810296,0.032043349256145,0.00131905867150985,0.0034266835032529,0.00516874224293822,0,0.00995595828281782,0.00187544452712322,0,0.00455436384982471,0.00957633601078244,0.0300684935347383,0.000317950805391962,0.0131914252681357,0.000281331978272562,0
3,1.12870381394699,0.668226268945398,0.000630984455468457,1.63926102444104e-08,0.00249221283079774,0.00256142887996063,0.00569851444507589,0.0221644894032627,0.0057666251170195,0.0409516645098695,0.00900480751557981,0.002563751167024,0,2.64413462653078e-05,0.00101288745888009,0.0203070361804114,0.0159303393835285,0.000719849242009566,0.00616780033903794,0.00221739826954168,0.00397417569159914,0.032713296090233,0.00169506709287527,0.00420262786033909,0.0055676466916116,0,0.0107809918011415,0.00201746051658011,0,0.0054414803125764,0.0104499174577935,0.0300685599103214,0.000419369208887565,0.0131918207084234,0.000471329569890658,0
4,1.17108559140682,0.690538604036806,0.000662765900376708,1.65860535358416e-08,0.00253442358055788,0.00294998558580623,0.00760444525994677,0.0235423711124947,0.00715076544839633,0.0417466388549071,0.00905014925759683,0.00260286117775116,0,2.71287470955164e-05,0.00101480491203335,0.0217139020456262,0.0172518403736018,0.000742043020903389,0.00632700394237114,0.00271582118466391,0.00429545457866737,0.0330668470084711,0.00199675278072128,0.00478795869815958,0.0057760724956599,0,0.0111712002645183,0.00210449995245995,0,0.00605147333749122,0.0109773422231235,0.0300685580502034,0.000501019064622619,0.0131919093497582,0.000659389853909207,0
5,1.20354218435849,0.707849129369929,0.000692622777838224,1.67197175247559e-08,0.0025587093993293,0.00322063095438169,0.00917975868256474,0.0245820044930636,0.00826645998686498,0.0422816152708004,0.00907111507791776,0.00263083493636648,0,2.77472030298268e-05,0.00101584189097677,0.0228113661163487,0.0181270880602124,0.000756975674750242,0.00641325594599249,0.00307681953363945,0.00454398582248739,0.0333063872514505,0.0022392826012418,0.00523821480778533,0.00591429660928295,0,0.0113825615022796,0.00215513515805874,0,0.00648243463361509,0.0113008115987235,0.0300685518298014,0.000567017262992672,0.0131919293995906,0.000832325552409118,0
6,1.22866912762631,0.721146810578538,0.00072011892546445,1.68117711465934e-08,0.00257629356552473,0.0034261367747961,0.0104269538886186,0.025369039010077,0.00913785428567523,0.042664837345696,0.00908206513677288,0.0026523970672819,0,2.83512306553286e-05,0.00101646790338541,0.02372897534432,0.0187157050671378,0.000767765253106936,0.00646826867274873,0.00336736266726186,0.00473729231280312,0.0334923345713605,0.00243342772679789,0.00559032339215821,0.00602286254611556,0,0.0115097293564812,0.00218454463817222,0,0.00679600252578031,0.0115015406287143,0.0300685475640894,0.000619615389674612,0.0131919338493841,0.000984901688542374,0
7,1.24832234419055,0.73131447848327,0.000745067122494504,1.68756400843803e-08,0.0025904569232477,0.00359485096856931,0.01139057799795,0.025972539704674,0.009807129148822,0.0429494722541152,0.0090883072717687,0.00266988609313888,0,2.8954384426586e-05,0.00101688061079382,0.0245285864776507,0.0191205203440187,0.00077607227990862,0.00650791363768797,0.00363100508146977,0.00489068723511523,0.0336470357770849,0.00258960741815309,0.00587043875662638,0.00611647575514058,0,0.01159382384104,0.00220233903466673,0,0.00703356970005315,0.0116285336090966,0.030068545014548,0.000661069910140636,0.0131919348167779,0.00111644846063597,0
8,1.26386129023368,0.739078272530469,0.000767412727172501,1.69205851442995e-08,0.00260244467473808,0.00374133891736452,0.0121244580173821,0.026443082357287,0.0103161529930283,0.0431663220352156,0.00909207302125363,0.0026845401171996,0,2.95617819742003e-05,0.00101717310527723,0.025247749065635,0.0194067101850044,0.000782868615978176,0.00653881910893724,0.00389097282379115,0.00501583438361399,0.0337795925741773,0.00271761772274545,0.00609735515212739,0.00620096242834141,0,0.0116551972033343,0.00221383349906894,0,0.00722246389894675,0.0117110922546126,0.0300685435165456,0.000693537275545006,0.0131919350276561,0.00122792215267135,0
9,1.27630367605185,0.745013794641879,0.000787202471100955,1.69527924790681e-08,0.00261286351633927,0.00387291771838692,0.0126785384822607,0.026819998229724,0.010701000331295,0.0433347737610335,0.00909442766475741,0.00269703400274848,0,3.01752940922171e-05,0.00101739295793865,0.025913017460193,0.0196152498632235,0.000788750378234696,0.00656428735156423,0.00415724388272045,0.00512077838828345,0.0338949779796246,0.00282544521140097,0.00628499859750288,0.00627877089804118,0,0.0117040073621263,0.00222180450982499,0,0.00737989350390381,0.0117665898347596,0.030068542629433,0.000718872588468734,0.0131919350797321,0.00132139603561568,0
10,1.28640475939181,0.749567206329734,0.000804564534276062,1.69763297169484e-08,0.00262206046732374,0.00399328625016803,0.0130947306405813,0.0271282252256539,0.0109910034617432,0.0434676360402097,0.00909593633438659,0.00270778879029248,0,3.07948060422484e-05,0.00101756613523115,0.0265442351061772,0.0197722183664056,0.000794092992272197,0.00658626643209702,0.00443179002326135,0.00521088932723326,0.0339961486115514,0.00291925763414442,0.00644325872165752,0.00635095060921895,0,0.0117453235390452,0.00222770093106336,0,0.00751612326069203,0.0118053198892876,0.03006854209884,0.000738594645074882,0.0131919350993824,0.00139930671859709,0
11,1.29472549337278,0.753078907727968,0.000819684663075746,1.6993865185894e-08,0.00263025775422146,0.00410440957001953,0.0134065007444478,0.0273865029642491,0.0112092795401496,0.0435737002907298,0.00909692166049063,0.00271712558327255,0,3.14189437121495e-05,0.0010177076045012,0.027156325234404,0.0198944792290587,0.000799132782640947,0.00660600801860957,0.00471219001166194,0.00528982044610174,0.0340850979360008,0.00300299043360548,0.00657846413989189,0.00641793762793199,0,0.0117817115802135,0.00223230838950525,0,0.00763699583201079,0.0118334181613091,0.0300685417794957,0.00075393040075586,0.0131919351117928,0.00146411755121221,0
12,1.30168458380718,0.755805699720647,0.000832781145673814,1.70071639117144e-08,0.00263761082363607,0.0042074498606185,0.0136398298146572,0.0276080168043844,0.0113736800577911,0.043659216739407,0.00909757645156569,0.00272530512564852,0,3.20456221936918e-05,0.00101782640613643,0.0277604295941471,0.0199930742933116,0.000804013193718116,0.00662432692672153,0.00499409271878499,0.00536015578162626,0.0341633288241375,0.00307929653257671,0.00669572277468251,0.00647991618560587,0,0.0118145309039055,0.0022360758380955,0,0.00774576949431841,0.0118545842132528,0.0300685415869335,0.000765863422713989,0.0131919351215291,0.0015181194132376,0
13,1.30759466898869,0.757939888483394,0.000844083269175702,1.70174114216956e-08,0.00264423629603404,0.00430321000141127,0.0138145390949561,0.0278019476831112,0.0114977904711447,0.0437287755350196,0.00909801920784995,0.00273253996408067,0,3.26724380361982e-05,0.00101792823991848,0.0283648021820599,0.0200753089646326,0.000808815034085282,0.0066417383306383,0.00527283987809752,0.00542377359340559,0.0342321366123235,0.00315003914355122,0.00679874567452793,0.00653700376364916,0,0.0118445587889705,0.00223927254283894,0,0.0078443324567372,0.0118710852468669,0.0300685414710789,0.000775174430052961,0.013191935129391,0.00156332644098232,0
14,1.31268985742779,0.759624909481906,0.000853815513254075,1.70254192596545e-08,0.002650226432482,0.00439233119477007,0.0139455789456012,0.0279746474777274,0.0115918402202151,0.0437858393236739,0.00909832411842456,0.00273900622823074,0,3.32969294562672e-05,0.00101801685255988,0.028975519881659,0.0201458796013468,0.000813577553462186,0.00665854908050121,0.00554442159509698,0.00548204386416366,0.034292692161858,0.00321649024048467,0.0068903428083584,0.00658934470709726,0,0.0118722798833777,0.00224206572255364,0,0.00793392575653205,0.0118843399131076,0.0300685414018293,0.000782475329352925,0.0131919351356589,0.00160143889002692,0
15,1.31714670495737,0.76096763250201,0.000862187540822484,1.70317543543606e-08,0.00265565705954284,0.00447538431557031,0.0140441399160155,0.0281305000393376,0.0116634738845476,0.0438330702642421,0.00909853827835577,0.00274484849854191,0,3.391673955252e-05,0.00101809481148413,0.0295970201001739,0.0202080357123951,0.000818313631444719,0.00667492464367951,0.00580591142690738,0.00553595227886028,0.0343460739428021,0.00327954411192588,0.00697263346815,0.00663714844101427,0,0.0118980193905323,0.00224456173922395,0,0.00801552323068936,0.0118952586515296,0.0300685413609282,0.000788239420678905,0.0131919351405954,0.0016338500347204,0
16,1.32109898459229,0.762047789452905,0.000869388919906232,1.703682080528e-08,0.00266059214402951,0.0045529003493089,0.0141185555586618,0.0282725403642787,0.0117183757370046,0.0438725378656246,0.00909869193520266,0.00275017957393242,0,3.45297133377892e-05,0.00101816394965914,0.0302324839377038,0.0202640082025679,0.000823020708579837,0.00669093898541964,0.00605553484149614,0.00558619511915551,0.0343932700640221,0.00333985871945652,0.00704688387522546,0.00668069355576729,0,0.0119220073471308,0.00224682940206495,0,0.00808999794791894,0.0119044431681023,0.0300685413372507,0.000792828722319069,0.0131919351444625,0.0016616778093986,0
17,1.32464928329193,0.762925056666074,0.000875587217407282,1.70409121683109e-08,0.00266508658342647,0.00462537851292477,0.0141750113122414,0.0284028917181002,0.0117607598866607,0.0439058586463218,0.00909880472432048,0.00275508915627435,0,3.51339504694939e-05,0.00101822562804871,0.0308840946906656,0.0203153357238838,0.000827688439314622,0.00670661104556168,0.00629251928706108,0.00563326138069308,0.0344351712739142,0.0033979448554235,0.00711424624711297,0.00672031310344555,0,0.0119444133480076,0.00224891393447795,0,0.00815817186714219,0.0119123042196437,0.0300685413239995,0.000796518237532423,0.0131919351474936,0.00168580690078611,0
18,1.32787678033027,0.763644304857719,0.000880928245534963,1.70442453890267e-08,0.0026691880184011,0.00469328531083547,0.0142180891354222,0.0285230689344531,0.0117937464070935,0.0439342962709953,0.00909888952209478,0.00275964735083606,0,3.572782801047e-05,0.00101828089425127,0.0315532055811464,0.0203630958585964,0.000832303790819229,0.0067219304574408,0.00651684781939933,0.00567750054456031,0.0344725652169041,0.00345423597825587,0.00717564211886727,0.00675637225480911,0,0.0119653679758124,0.00225084568122625,0,0.00822081282845042,0.0119191317967022,0.0300685413170191,0.000799531692803097,0.013191935149879,0.00170693207554338,0
19,1.33084328980961,0.764239459847032,0.000885537531313378,1.70469832202289e-08,0.00267293809391866,0.00475705151115235,0.0142511799347523,0.0286341854490277,0.011819645433021,0.0439588374723617,0.00909895485666287,0.00276390854734716,0,3.63100026705316e-05,0.00101833058071095,0.0322404484380248,0.0204080571810519,0.000836854193761059,0.0067368747840247,0.00672900082899588,0.00571917490712051,0.0345061356667507,0.0035094659250155,0.00723182160395172,0.0067892456508104,0,0.0119849771857292,0.00225264558378706,0,0.00827861630040082,0.0119251374150148,0.030068541313773,0.000802019277829345,0.0131919351517669,0.00172559766985433,0
20,1.3335969330053,0.764736331302858,0.000889522370733602,1.70492493306037e-08,0.00267637339641303,0.00481706997338882,0.0142767928248237,0.0287370924012327,0.0118401694060756,0.0439802516836753,0.00909900643268356,0.00276791519625541,0,3.68793991459945e-05,0.00101837536701557,0.0329458092760232,0.0204507789693499,0.00084132926661561,0.00675142029033363,0.00692973373448003,0.0057584963982328,0.0345364669208653,0.00356368825663496,0.00728340858014966,0.0068192985060424,0,0.0120033320688289,0.00225432876593767,0,0.00833219025344069,0.0119304799717479,0.0300685413127141,0.000804103418212794,0.0131919351532695,0.00174223107767421,0
21,1.33617649035784,0.765154684752998,0.000892974064471113,1.70511387075056e-08,0.00267952618860785,0.0048736952091178,0.0142967855083432,0.0288324705725727,0.0118565904786813,0.0439991385568069,0.00909904810544563,0.00277170087037613,0,3.74351899892822e-05,0.00101841582041447,0.0336686899090536,0.0204916763105502,0.000845721550654271,0.00676554800019765,0.00711990989628886,0.00579564987297014,0.0345640520262085,0.00361800631799741,0.00733093078317707,0.00684687305812844,0,0.0120205151755838,0.00225590675974632,0,0.00838204952964247,0.0119352818607094,0.0300685413129082,0.000805866015460809,0.0131919351544709,0.00175718732599999,0
22,1.33861060937242,0.765509762479624,0.000895970101429946,1.70527249755864e-08,0.00268242500776722,0.00492724460515509,0.0143125349765647,0.0289208900913607,0.011869856685421,0.04401596585787,0.00909908250893915,0.00277529280008145,0,3.7976768959843e-05,0.00101845242286115,0.0344079661551935,0.0205310625062979,0.000850026604908331,0.0067792464866508,0.00730038954897423,0.00583080600794337,0.0345893031704152,0.0036729613571974,0.00737484027683292,0.00687228036599338,0,0.0120366042470744,0.00225738890226276,0,0.00842861959604052,0.0119396392732216,0.0300685413137902,0.000807373407922426,0.0131919351554344,0.0017708304942216,0
23,1.34092145311299,0.765813403896821,0.00089857616890145,1.70540656511959e-08,0.00268509880324517,0.00497800081793746,0.0143250638314867,0.0290028484374916,0.0118806774169185,0.0440310994254097,0.00909911146421894,0.00277871429981545,0,3.85037232611639e-05,0.00101848558955371,0.0351620517962989,0.0205691767816045,0.000854242725301727,0.00679251254020716,0.00747196596020877,0.00586412705003738,0.0346125627993728,0.00372818627820626,0.00741555888741739,0.00689579661380404,0,0.0120516740940506,0.00225878315091202,0,0.00847224685076711,0.0119436289922236,0.0300685413150247,0.000808677192793087,0.0131919351562072,0.00178330659438785,0
24,1.34312684582514,0.766074874471196,0.000900847938129802,1.70552059828466e-08,0.00268759650596449,0.00502621490488902,0.0143351333760959,0.0290787940650575,0.0118895861819191,0.0440448265869822,0.00909913624694351,0.00278198105497919,0,3.90158059889256e-05,0.00101851568200698,0.035928967727271,0.0206062026317882,0.00085837047634699,0.00680535057341347,0.00763533668903982,0.00589576820160665,0.0346341144368483,0.00378386487876831,0.00745346487482186,0.00691766276742639,0,0.0120657972631678,0.00226009659781203,0,0.00851321215814636,0.0119473130362707,0.0300685413164154,0.000809817134366874,0.0131919351568259,0.0017947973615711,0
25,1.34524051039715,0.76630148180314,0.000902832614833225,1.70561818002129e-08,0.00268990676563615,0.00507210968866192,0.0143433121746683,0.0291491406604222,0.0118969866330705,0.0440573743948177,0.0090991577638704,0.00278510756205928,0,3.95129093441417e-05,0.00101854301753984,0.0367064166354136,0.0206422803063963,0.000862412161243559,0.00681777137183819,0.00779109816273905,0.00592587674850644,0.0346541925875734,0.00384021596023581,0.00748878101639199,0.00693808644908452,0,0.0120790439993463,0.00226133567690345,0,0.00855174487712009,0.0119507419519711,0.0300685413178489,0.000810824141668265,0.013191935157319,0.00180545349081111,0
26,1.34727367209689,0.766499035572967,0.000904570266074764,1.70570216525974e-08,0.00269204758721993,0.00511588306931385,0.0143500264947358,0.0292142755398655,0.0119031862937114,0.044068923564678,0.00909917667004748,0.00278810601645434,0,3.99950403985065e-05,0.00101856787636645,0.0374918608964593,0.0206775156722055,0.00086637130795487,0.00682979059990066,0.0079397538714593,0.0059545903685079,0.0346729914247557,0.00389787840031276,0.00752176927140954,0.00695724507931201,0,0.0120914818725411,0.00226250631503218,0,0.00858803558396535,0.0119539572273603,0.0300685413192631,0.000811722455544912,0.0131919351577087,0.00181546897201901,0
27,1.34923504674921,0.766672192404302,0.000906094945127502,1.70577484285948e-08,0.00269403509611121,0.00515771109402555,0.0143555974603946,0.0292745642891752,0.0119084212660977,0.0440796191290544,0.00909919344711503,0.00279098696571849,0,4.04622996498481e-05,0.00101859050705283,0.038282601370969,0.0207119868507507,0.000870252213850514,0.00684142731545302,0.00808172905257329,0.00598203549861234,0.0346906721824776,0.00395749512348431,0.00755266054371112,0.00697528957273487,0,0.0121031753096838,0.00226361397117298,0,0.00862224657710845,0.0119569931097248,0.0300685413206248,0.000812531257654061,0.013191935158013,0.00182495192648469,0
28,1.35113037190538,0.766824715533317,0.000907435639498755,1.70583805912786e-08,0.00269588376126664,0.00519775069116198,0.0143602681359213,0.0293303524527827,0.0119128743393839,0.0440895785342537,0.00909920845595515,0.00279376055114794,0,4.09148624810346e-05,0.0010186111308331,0.0390758511828611,0.0207457494691411,0.000874059567661602,0.0068527026352385,0.0082173871327486,0.006008326218191,0.0347073693073573,0.00401861551224051,0.00758165898989351,0.00699234810206351,0,0.0121141851713036,0.00226466365010317,0,0.0086545199217973,0.0119598780026284,0.0300685413219189,0.000813265858500873,0.0131919351582463,0.001833962479563,0
29,1.35296557216601,0.76695967117318,0.000908617067139339,1.70589331252815e-08,0.00269760658755506,0.00523614204514416,0.0143642236924239,0.0293819676318495,0.0119166882759419,0.0440988977838507,0.00909922197232943,0.00279643308468236,0,4.13529634214056e-05,0.00101862994511071,0.0398688071481621,0.0207788410081975,0.000877798152341557,0.00686363861699664,0.00834704512949896,0.0060335638127931,0.034723195494668,0.00408229828869802,0.00760894553016646,0.00700852963337427,0,0.0121245684401466,0.0022656599049309,0,0.00868498321521311,0.0119626355544289,0.0300685413231396,0.00081393857938674,0.0131919351584207,0.00184258339621405,0
30,1.35474338313775,0.767079577688582,0.000909660343926038,1.70594182662892e-08,0.0026992152820237,0.00527301063031341,0.0143676061162564,0.0294297194075953,0.0119199755809367,0.0441076560980613,0.00909923421117727,0.00279901110297209,0,4.17768830036908e-05,0.00101864712636119,0.0406587124150089,0.0208112845146006,0.00088147262361145,0.00687425737514148,0.00847098662337774,0.00605783699917809,0.034738245762913,0.00414771164002962,0.00763468081606495,0.00702392707710604,0,0.0121343780425484,0.00226660684884074,0,0.00871375346529319,0.011965285514293,0.0300685413242872,0.000814559411568378,0.0131919351585459,0.00185088662335524,0
31,1.3564667306105,0.767186519495547,0.000910583542838929,1.70598460653208e-08,0.00270072039805344,0.00530846894317379,0.0143705250547669,0.0294738996172325,0.0119228257098696,0.0441159193979684,0.0090992453433174,0.0028015005073848,0,4.21869368056192e-05,0.00101866283258315,0.0414429107013251,0.0208430918171945,0.000885087354524252,0.0068845804181881,0.00858947184866302,0.00608122269064086,0.0347526007240585,0.00421493116320224,0.00765900774170083,0.00703861999644414,0,0.0121436627964074,0.00226750817227455,0,0.00874093953907678,0.0119678444099827,0.0300685413253643,0.000815136512786872,0.0131919351586305,0.00185893485469938,0
32,1.35813849740836,0.7672822345209,0.000911402162445337,1.70602248270914e-08,0.00270213146075795,0.0053426179796293,0.014373065821445,0.029514782666186,0.0119253104104143,0.0441237430762583,0.00909925550703412,0.00280390655362506,0,4.25834664597582e-05,0.00101867720539811,0.0422188912374609,0.0208742663187342,0.000888646334767286,0.00689462818126421,0.00870274501065252,0.00610378713964351,0.0347663291956597,0.00428401512103478,0.00768205358293835,0.00705267687609541,0,0.0121524674663176,0.0022683671704112,0,0.00876664360744029,0.0119703260879133,0.0300685413263749,0.000815676584545385,0.0131919351586813,0.00186735502165879,0
33,1.35976107566887,0.767368181784855,0.000912129519642741,1.70605614521282e-08,0.00270345707851893,0.00537554850263244,0.014375295317078,0.0295526256407695,0.0119274877048264,0.0441311740445644,0.00909926481619806,0.00280623399844224,0,4.29668323506945e-05,0.0010186903718703,0.0429843241821741,0.0209048054007171,0.000892153113509524,0.00690441972124357,0.00881103922471525,0.00612558729210036,0.0347794902835017,0.00435500032449381,0.00770393183461586,0.00706615698898783,0,0.012160832901747,0.00226918677817815,0,0.00879096193918082,0.0119727421465703,0.0300685413273223,0.000816185161433576,0.0131919351587045,0.00187674191135763,0
34,1.36133499462713,0.767445593989558,0.000912777079231871,1.70608617051203e-08,0.00270470503474968,0.00540734214017044,0.0143772664240617,0.0295876686135192,0.0119294048799925,0.0441382523283765,0.00909927336602562,0.00280848828149694,0,4.33374076179066e-05,0.00101870244609709,0.0437370867759245,0.0209347024654682,0.000895610775614055,0.0069139725417459,0.00891457957721494,0.00614667220837896,0.0347921350436472,0.00442789024154342,0.00772474379799367,0.0070791119144703,0,0.0121687962344298,0.00226996960982351,0,0.00881398531043863,0.0119751022874866,0.0300685413282116,0.00081666683513183,0.0131919351587053,0.00188615882678282,0
35,1.3628615421193,0.767515518749078,0.000913354730826297,1.70611304265646e-08,0.00270588237372079,0.00543807234646363,0.0143790212809223,0.0296201350696406,0.011931100750651,0.0441450123234638,0.00909928123721819,0.00281067291780749,0,4.36955732779998e-05,0.00101871353060788,0.0444752808387083,0.0209639486368787,0.000899021942464117,0.00692330251796485,0.00901358480345611,0.00616708443819387,0.0348043078134718,0.0045026782776614,0.00774457996281927,0.0070915867657184,0,0.0121763911139098,0.0022707179999866,0,0.00883579921415484,0.0119774146026121,0.030068541329047,0.000817125429524402,0.0131919351586876,0.00189563603326311,0
36,1.36434185768621,0.76757885117072,0.000913871021848474,1.70613717006673e-08,0.00270699547647405,0.0054678052522506,0.0143805937341175,0.0296502324489999,0.0119326073876826,0.0441514837567282,0.00909928849897849,0.00281279063422549,0,4.40417142618634e-05,0.00101872371760009,0.0451972424602651,0.0209925341431935,0.000902388790181848,0.00693242389540132,0.00910826801524345,0.00618686127158989,0.0348160472838246,0.00457934074272888,0.00776352121844463,0.007103621181204,0,0.0121836479639368,0.00227143404365087,0,0.00885648398753371,0.0119796858126394,0.0300685413298316,0.000817564138906123,0.0131919351586554,0.00190519843677171,0
37,1.36577699095101,0.767636359812924,0.000914333353884939,1.70615889893511e-08,0.00270805012588886,0.00549660042389575,0.0143820111838228,0.0296781527870144,0.0119339514501706,0.0441576924825472,0.00909929521124392,0.00281484453435467,0,4.4376216199303e-05,0.00101873309003472,0.0459015448782941,0.0210204494087752,0.000905713079473374,0.00694134934107989,0.00919883682535901,0.00620603582079371,0.0348273873693566,0.00465783843094815,0.00778163992146812,0.00711525012865282,0,0.01219059424627,0.0022721196330483,0,0.00887611492563502,0.0119819214673977,0.0300685413305685,0.000817985638077929,0.0131919351586117,0.00191486616410438,0
38,1.36716793974248,0.767688707534807,0.000914748148440323,1.70617852398679e-08,0.00270905156525987,0.00552451154606641,0.0143832959818083,0.0297040734330464,0.0119351552216804,0.0441636611024141,0.00909930142636767,0.00281683755080346,0,4.46994628159078e-05,0.00101874172260981,0.0465869956438574,0.0210476858849153,0.000908996192623759,0.00695009003013333,0.00928549312950663,0.00622463791481026,0.0348383579214851,0.0047381182576498,0.00779900084168065,0.00712650456211064,0,0.0121972547219663,0.00227277649031198,0,0.00889476241496581,0.011984126116687,0.0300685413312616,0.000818392170830578,0.013191935158559,0.00192465508199187,0
39,1.36851568303175,0.767736468376637,0.000915120987104856,1.70619629717338e-08,0.0027100045505083,0.00555158703889363,0.0143844664968913,0.0297281578260538,0.0119362374237744,0.0441694094716908,0.00909930719040411,0.00281877254050313,0,4.50118338336727e-05,0.00101874968262664,0.0472526289731957,0.0210742366518437,0.000912239174258473,0.00695865575447673,0.00936843272927511,0.00624269480908682,0.034848985318267,0.00482011492420324,0.00781566200359248,0.00713741196491982,0,0.0122036517032173,0.00227340619531773,0,0.00891249209926743,0.0119863034577525,0.0300685413319125,0.0008187856216563,0.0131919351585,0.00193457726589284,0
40,1.36982120213559,0.767780141331189,0.000915456730299665,1.70621243473659e-08,0.00271091339684955,0.00557787061770288,0.0143855379324502,0.0297505563279033,0.0119372138601485,0.0441749551150035,0.00909931254410939,0.00282065191670679,0,4.53137032880876e-05,0.00101875703076145,0.0478976946459122,0.0211000968247176,0.000915442773381769,0.00696705504353407,0.00944784491710884,0.00626023172635823,0.03485929295733,0.00490375258256556,0.00783167543730565,0.00714799680430109,0,0.0122098052912146,0.00227401020867009,0,0.0089293650773078,0.0119884564639416,0.0300685413325239,0.000819167574321652,0.0131919351584362,0.00194464142593477,0
41,1.37108548969199,0.767820161659805,0.000915759618060473,1.70622712297845e-08,0.00271178202061328,0.00560340180139205,0.0143865229580103,0.0297714069650684,0.0119380979306892,0.0441803135697323,0.00909931752373303,0.00282247793612993,0,4.56054381912397e-05,0.00101876382175353,0.0485216440735614,0.0211252637957831,0.000918607484916593,0.00697529528963452,0.00952391209674146,0.00627727225271795,0.0348693016717606,0.00498894647266148,0.00784708784979546,0.0071582809171782,0,0.012215733597391,0.00227458989014701,0,0.00894543812638465,0.0119905874978367,0.0300685413330983,0.000819539360053362,0.0131919351583694,0.0019548532953314,0
